x,y,u,v,w,current_cost,total_cost
61.25,81.25,10.94225,0.06743595,-0.6289785,273.5190020623671,273.5190020623671
62.5,82.5,10.9468,0.1048573,-0.610714,273.3759339402229,546.89493600259
63.75,83.75,10.933200000000001,0.14034100000000016,-0.6052754999999999,273.81463578549204,820.709571788082
65.0,85.0,10.8725,0.1552845,-0.6096495,275.73491635770154,1096.4444881457835
66.25,86.25,10.792200000000001,0.1591715,-0.6011085,278.22842972877896,1374.6729178745625
67.5,87.5,10.83005,0.17662750000000002,-0.554919,277.0567722720722,1651.7296901466348
68.75,88.75,10.774099999999999,0.24367899999999998,-0.5333045,278.7998923412493,1930.529582487884
70.0,90.0,10.707849999999999,0.30471799999999993,-0.5126725,280.835131210168,2211.364713698052
71.25,91.25,10.734749999999998,0.33441849999999995,-0.4763895,280.03096497233724,2491.3956786703893
72.5,91.25,10.637149999999998,0.404497,-0.46187,225.4040547336749,2716.799733404064
73.75,91.25,10.662799999999999,0.41893499999999995,-0.430979,224.98600352130717,2941.7857369253716
75.0,91.25,10.55765,0.5045275,-0.412798,226.68063925669944,3168.466376182071
76.25,91.25,10.58005,0.531202,-0.3784385,226.32528549259183,3394.791661674663
77.5,91.25,10.46825,0.6376575,-0.35584899999999997,228.08843753284296,3622.8800992075057
78.75,91.25,10.487649999999999,0.6825805,-0.317547,227.79256499126032,3850.672664198766
80.0,91.25,10.373149999999999,0.816803,-0.2894295,229.56130285548,4080.233967054246
81.25,91.25,10.391,0.8893679999999999,-0.2481455,229.30698694152,4309.540953995766
82.5,91.25,10.2817,1.0587345,-0.213703,230.97554828821154,4540.516502283978
83.75,91.25,10.3037,1.172695,-0.169241,230.69342006166517,4771.2099223456435
85.0,91.25,10.21575,1.384175,-0.1287185,232.0689255127354,5003.278847858379
86.25,91.25,10.2548,1.55605,-0.0824815,231.6130277205073,5234.891875578886
87.5,91.25,10.219,1.81079,-0.0372801,232.33659621516898,5467.228471794056
88.75,91.25,10.299299999999999,2.055035,0.008344750000000001,231.43385381281797,5698.662325606873
90.0,91.25,10.36545,2.333475,0.0565969,230.83829634840683,5929.50062195528
91.25,91.25,10.52655,2.64377,0.0992632,228.92048745972247,6158.421109415002
92.5,91.25,10.756201497552077,3.0602544417778605,0.15916947708553286,226.17051560587151,6384.591625020874
93.75,91.25,11.107096620394332,3.1953798423223136,0.18801120896090706,220.38384684913908,6604.975471870013
