3601.0,1069.7808761083431,8.059016994374947
3602.0,2214.64156367665,16.809016994374947
3603.0,3205.911104332824,24.309016994374947
3604.0,4386.58494333787,33.05901699437494
3605.0,5424.478473745644,40.55901699437494
3606.0,6473.844382375298,48.05901699437494
3607.0,7717.997385754732,56.80901699437494
3608.0,8841.171376428325,64.60410196624969
3609.0,9896.508403409534,72.10410196624969
3610.0,11135.840554763445,80.85410196624969
3611.0,12200.186278305067,88.35410196624969
3612.0,13453.966478755188,97.10410196624969
3613.0,14572.955332678997,104.60410196624969
3614.0,15691.90341098312,112.10410196624969
3615.0,16970.4938982797,120.85410196624969
3616.0,18032.812057478495,128.3541019662497
3617.0,19288.904043552742,136.73935688187387
3618.0,20751.90285764399,146.37461179749806
3619.0,21759.814014859003,152.9196967693728
3620.0,22906.56131666978,160.71478174124752
3621.0,24103.748465596633,168.80495168499698
3622.0,25230.928575000853,176.6000366568717
3623.0,26632.19783400833,185.94020660062117
3624.0,27608.60700697727,192.4852915724959
3625.0,28793.34479523652,200.28037654437063
3626.0,30106.11665750852,209.03037654437063
3627.0,31318.704644375088,216.82546151624535
3628.0,32797.56532036327,225.21071643186954
3629.0,34545.86057583378,233.59597134749373
3630.0,36319.80459298388,241.98122626311792
3631.0,37916.325707955446,250.3664811787421
3632.0,39182.46654638225,257.20665112249156
3633.0,40493.13520172139,264.70665112249156
3634.0,41658.83605572111,272.20665112249156
3635.0,43203.212012702716,280.95665112249156
3636.0,44645.41605492977,288.45665112249156
3637.0,46274.31187904204,297.20665112249156
3638.0,47702.89047156304,304.70665112249156
3639.0,49088.65331639671,312.20665112249156
3640.0,50744.1799796315,320.95665112249156
3641.0,52400.29110872744,330.0017360943663
