X,Y
50.0,100.0
50.0,100.0
51.25,98.75
52.5,97.5
53.75,96.25
55.0,95.0
56.25,93.75
57.5,92.5
58.75,91.25
60.0,90.0
61.25,88.75
62.5,87.5
63.75,86.25
65.0,85.0
66.25,83.75
67.5,82.5
68.75,81.25
70.0,80.0
71.25,78.75
72.5,78.75
73.75,78.75
75.0,78.75
76.25,78.75
77.5,78.75
78.75,78.75
80.0,78.75
81.25,78.75
82.5,78.75
83.75,78.75
85.0,78.75
86.25,78.75
87.5,78.75
88.75,78.75
90.0,78.75
91.25,78.75
92.5,78.75
93.75,78.75
95.0,78.75
96.25,78.75
97.5,78.75
98.75,78.75
100.0,78.75
101.25,78.75
102.5,78.75
103.75,78.75
105.0,78.75
106.25,78.75
107.5,78.75
108.75,78.75
110.0,78.75
111.25,78.75
112.5,78.75
113.75,78.75
115.0,78.75
116.25,78.75
117.5,78.75
118.75,78.75
120.0,78.75
121.25,78.75
122.5,78.75
123.75,78.75
125.0,78.75
126.25,78.75
127.5,78.75
128.75,78.75
130.0,78.75
131.25,78.75
132.5,78.75
133.75,78.75
135.0,78.75
136.25,78.75
137.5,78.75
138.75,78.75
140.0,78.75
141.25,78.75
142.5,78.75
143.75,78.75
145.0,78.75
146.25,78.75
147.5,78.75
148.75,78.75
150.0,78.75
151.25,78.75
152.5,78.75
153.75,78.75
155.0,78.75
156.25,78.75
157.5,78.75
158.75,78.75
160.0,78.75
161.25,78.75
162.5,78.75
163.75,78.75
165.0,78.75
166.25,78.75
167.5,78.75
168.75,78.75
170.0,78.75
171.25,78.75
172.5,78.75
173.75,78.75
175.0,78.75
176.25,78.75
177.5,78.75
178.75,78.75
180.0,78.75
181.25,78.75
182.5,78.75
183.75,78.75
185.0,78.75
186.25,78.75
187.5,78.75
188.75,78.75
190.0,78.75
191.25,78.75
192.5,78.75
193.75,78.75
195.0,78.75
196.25,78.75
197.5,78.75
198.75,78.75
200.0,78.75
201.25,78.75
202.5,78.75
203.75,78.75
205.0,78.75
206.25,78.75
207.5,78.75
208.75,78.75
210.0,78.75
211.25,78.75
212.5,78.75
213.75,78.75
215.0,78.75
216.25,78.75
217.5,78.75
218.75,78.75
220.0,78.75
221.25,78.75
222.5,78.75
223.75,78.75
225.0,78.75
226.25,78.75
227.5,78.75
228.75,78.75
230.0,78.75
231.25,78.75
232.5,78.75
233.75,78.75
235.0,78.75
236.25,78.75
237.5,78.75
238.75,78.75
240.0,78.75
241.25,78.75
242.5,78.75
243.75,78.75
245.0,78.75
246.25,78.75
247.5,78.75
248.75,78.75
250.0,78.75
251.25,78.75
252.5,78.75
253.75,78.75
255.0,78.75
256.25,78.75
257.5,78.75
258.75,78.75
260.0,78.75
261.25,78.75
262.5,78.75
263.75,78.75
265.0,78.75
266.25,78.75
267.5,78.75
268.75,78.75
270.0,78.75
271.25,78.75
272.5,78.75
273.75,78.75
275.0,78.75
276.25,78.75
277.5,78.75
278.75,78.75
280.0,78.75
281.25,78.75
282.5,78.75
283.75,78.75
285.0,78.75
286.25,78.75
287.5,78.75
288.75,78.75
290.0,80.0
291.25,81.25
292.5,82.5
293.75,83.75
295.0,85.0
296.25,86.25
297.5,87.5
298.75,88.75
300.0,90.0
301.25,91.25
302.5,92.5
303.75,93.75
305.0,95.0
306.25,96.25
307.5,97.5
308.75,98.75
310,100
