5101.0,1703.2357394540536,8.75
5102.0,3076.2832291831664,16.25
5103.0,4563.8376352322375,25.0
5104.0,5757.334574766583,32.5
5105.0,6908.627105351037,40.0
5106.0,8353.94781112551,48.75
5107.0,9666.432540158694,56.25
5108.0,11525.93165247147,65.0
5109.0,13160.978955374514,72.5
5110.0,14813.087296190075,80.0
5111.0,16347.120436466379,88.75
5112.0,17413.47330028297,96.25
5113.0,18616.68996612192,105.0
5114.0,19595.267236157793,112.5
5115.0,20594.447346396115,120.0
5116.0,21880.626315488673,128.75
5117.0,23035.938950413773,136.25
5118.0,24605.475883066007,145.0
5119.0,26122.265995005524,152.5
5120.0,27563.05531610499,160.0
