X,Y
130.0,20.0
131.25,21.25
132.5,22.5
133.75,23.75
135.0,25.0
136.25,26.25
137.5,27.5
138.75,28.75
140.0,30.0
141.25,31.25
142.5,32.5
143.75,33.75
145.0,35.0
147.5,36.25
150.0,37.5
152.5,38.75
155.0,40.0
157.5,41.25
160.0,42.5
162.5,43.75
165.0,45.0
167.5,46.25
170.0,47.5
172.5,48.75
175.0,50.0
177.5,51.25
180.0,52.5
182.5,53.75
183.75,55.0
185.0,56.25
186.25,57.5
187.5,58.75
188.75,60.0
190.0,61.25
191.25,62.5
192.5,63.75
193.75,65.0
195.0,66.25
196.25,67.5
197.5,68.75
198.75,70.0
200.0,71.25
201.25,72.5
202.5,73.75
203.75,75.0
205.0,76.25
206.25,77.5
207.5,78.75
208.75,80.0
210.0,81.25
211.25,82.5
212.5,83.75
213.75,85.0
215.0,86.25
216.25,87.5
217.5,88.75
218.75,90.0
220.0,91.25
221.25,92.5
222.5,93.75
223.75,95.0
225.0,96.25
226.25,97.5
227.5,98.75
230.0,100.0
