X,Y
100.0,40.0
100.0,41.25
100.0,42.5
100.0,43.75
101.25,45.0
102.5,46.25
103.75,47.5
105.0,48.75
106.25,50.0
107.5,51.25
108.75,52.5
110.0,53.75
111.25,55.0
112.5,56.25
113.75,57.5
115.0,58.75
116.25,60.0
115.0,60.0
116.25,61.25
117.5,62.5
116.25,62.5
115.0,62.5
116.25,63.75
115.0,63.75
113.75,63.75
112.5,63.75
111.25,63.75
112.5,65.0
111.25,65.0
110.0,65.0
108.75,65.0
110.0,66.25
108.75,66.25
107.5,66.25
108.75,67.5
107.5,67.5
106.25,67.5
105.0,67.5
103.75,67.5
102.5,67.5
101.25,67.5
100.0,67.5
101.25,68.75
100.0,68.75
98.75,68.75
97.5,68.75
96.25,68.75
95.0,68.75
93.75,68.75
92.5,68.75
91.25,68.75
90.0,68.75
88.75,68.75
88.75,70.0
88.75,71.25
88.75,72.5
88.75,73.75
88.75,75.0
88.75,76.25
88.75,77.5
88.75,78.75
88.75,80.0
88.75,81.25
88.75,82.5
88.75,83.75
88.75,85.0
88.75,86.25
88.75,87.5
88.75,88.75
88.75,90.0
88.75,91.25
88.75,92.5
88.75,93.75
88.75,95.0
88.75,96.25
90.0,97.5
91.25,98.75
92.5,100.0
93.75,101.25
95.0,102.5
96.25,103.75
97.5,105.0
98.75,106.25
100.0,107.5
100.0,108.75
100.0,110.0
100.0,111.25
100.0,112.5
100.0,113.75
100.0,115.0
100.0,116.25
100.0,117.5
100.0,118.75
100.0,120.0
100.0,121.25
100.0,122.5
100.0,123.75
100.0,125.0
100.0,126.25
100.0,127.5
100.0,128.75
100.0,130.0
100.0,131.25
100.0,132.5
100.0,133.75
100.0,135.0
100.0,136.25
100.0,137.5
100.0,138.75
100,140
