x,y,u,v,w,current_cost,total_cost
0.5,200.25,4.637626438087618,-0.1286695554549937,0.42978380926262244,75.455958742264,75.455958742264
1.75,200.25,4.614920330245889,-0.20752365520924865,0.40681460485880416,165.40103691931276,240.85699566157678
3.0,200.25,4.536721398705875,-0.22357982186374453,0.44048361012424675,166.3801205756374,407.2371162372142
4.25,200.25,4.550877878583025,-0.2213749093970477,0.455095065534579,166.20288154819536,573.4399977854096
5.5,200.25,4.6414823587648595,-0.08870350864216432,0.40855700895496655,165.08806911520645,738.5280669006161
6.75,200.25,4.644228304752733,-0.07948612973250933,0.3926158498976994,165.05416508332806,903.5822319839441
8.0,200.25,4.552573754007768,-0.1280917931504392,0.438235433675996,166.19864412439907,1069.7808761083431
9.25,200.25,4.660129762922535,-0.02036817834023956,0.423496626729319,164.86000158337274,1234.6408776917158
10.5,200.25,4.831662574843766,0.11488781887982619,0.3928256341485379,162.73455403849277,1397.3754317302087
11.75,200.25,4.94727837949934,0.11377732676513846,0.39319744460191275,161.3261102024309,1558.7015419326397
13.0,200.25,4.758091235772165,-0.13808469761847353,0.4062151952201599,163.6359066797975,1722.3374486124371
14.25,200.25,4.706318299217126,-0.06948319058817476,0.41906388998396354,164.28373493323946,1886.6211835456766
15.5,200.25,4.703164690773756,0.05136947761645391,0.42554902449727827,164.32418354483676,2050.945367090513
16.75,200.25,4.753784129635565,0.10085334712414162,0.4764566015651056,163.6961965861371,2214.64156367665
18.0,200.25,4.688488072731505,-0.07910381572335606,0.5842513463673001,164.5117959466205,2379.1533596232707
19.25,200.25,4.564512823729283,-0.1543554250644509,0.702685640046646,166.0604590278757,2545.2138186511465
20.5,200.25,4.667428945360905,-0.032555615518682954,0.5453864925625713,164.77402099016436,2709.987839641311
21.75,200.25,4.695198865669953,0.026861747460668012,0.5640737770505536,164.43014249795078,2874.4179821392618
23.0,200.25,4.652796538304616,-0.10345265335014062,0.655848728793687,164.9584618636672,3039.376444002929
24.25,200.25,4.5269794551493625,-0.1950495303375162,0.7918013294428123,166.5346603298947,3205.911104332824
25.5,200.25,4.382798727465484,-0.25681021564413753,0.9275706364734617,168.37139312064662,3374.2824974534706
26.75,200.25,4.294141874120864,-0.26079719100160503,0.9950902667458155,169.52403230826454,3543.806529761735
28.0,200.25,4.6066771815255905,-0.2119781675117488,0.7402660468159139,165.52369224953088,3709.330222011266
29.25,200.25,4.474476795825188,-0.2578944632945716,0.8727834729694305,167.19363356539807,3876.523855576664
30.5,200.25,4.315720853338154,-0.29057324273905005,1.016984480326575,169.239501772695,4045.763357349359
31.75,200.25,4.21052899412318,-0.3239173065349683,1.102703731844569,170.61222676580243,4216.3755841151615
33.0,200.25,4.238754816576991,-0.4011894724698032,1.099424455942196,170.20935922270846,4386.58494333787
34.25,200.25,4.136321916509454,-0.4304402410567233,1.1685842056565043,171.55317013603045,4558.1381134739
35.5,200.25,3.982902106158325,-0.42541084830634135,1.2527948361780907,173.62131634486943,4731.75942981877
36.75,200.25,4.042395028658132,-0.426212281681627,1.3296973153851506,172.84875549157874,4904.608185310349
38.0,200.25,4.062300141277266,-0.4567128424378464,1.2851129674246218,172.5519576176967,5077.160142928045
39.25,200.25,4.017052590201288,-0.42719345463662395,1.208510101760064,173.14953748728385,5250.309680415329
40.5,200.25,3.941626763392864,-0.3706685089525743,1.1155971459470921,174.1687933303145,5424.478473745644
41.75,200.25,3.8494261805337375,-0.30145054644624303,1.0093123435203089,175.42993730089128,5599.908411046536
43.0,200.25,3.840014204730969,-0.3085047722467172,0.9436893447835466,175.54389568552125,5775.452306732057
44.25,200.25,3.909639108684594,-0.3748246558604381,1.0288276927909938,174.58080485099822,5950.033111583055
45.5,200.25,3.921035213115208,-0.3618916609346666,0.873441705371605,174.40530861053014,6124.438420193585
46.75,200.25,3.9082093738310353,-0.34763656253925873,0.7872425952048121,174.57434520281686,6299.012765396403
48.0,200.25,3.888417850837406,-0.3695529806376737,0.7747834602486481,174.83161697889508,6473.844382375298
49.25,200.25,3.87288382087785,-0.37852479163169417,0.6277037234319349,175.02476447742572,6648.869146852723
50.5,200.25,3.824251051771154,-0.3935174338550869,0.46847913768360805,175.67289768928163,6824.542044542005
51.75,200.25,3.669359449482479,-0.44141820446877733,0.431553487853381,177.7917780902293,7002.333822632234
53.0,200.25,3.697680526349533,-0.38009337807268295,0.5978405929733385,177.43908518640586,7179.772907818639
