X,Y
50.0,20.0
51.25,20.0
52.5,20.0
53.75,20.0
55.0,20.0
56.25,20.0
57.5,20.0
58.75,20.0
60.0,20.0
62.5,21.25
65.0,22.5
67.5,23.75
70.0,25.0
72.5,26.25
75.0,27.5
77.5,28.75
80.0,30.0
82.5,31.25
85.0,32.5
86.25,33.75
88.75,35.0
91.25,36.25
92.5,37.5
95.0,38.75
96.25,40.0
98.75,41.25
101.25,42.5
103.75,43.75
106.25,45.0
108.75,46.25
111.25,47.5
113.75,48.75
116.25,50.0
118.75,51.25
120.0,51.25
121.25,51.25
123.75,52.5
125.0,52.5
127.5,53.75
130.0,55.0
131.25,55.0
132.5,55.0
135.0,56.25
136.25,56.25
137.5,56.25
140.0,57.5
142.5,58.75
145.0,60.0
147.5,61.25
150.0,62.5
151.25,62.5
152.5,62.5
155.0,63.75
156.25,63.75
158.75,65.0
161.25,66.25
162.5,66.25
165.0,67.5
167.5,68.75
170.0,70.0
172.5,71.25
175.0,72.5
177.5,73.75
180.0,75.0
182.5,76.25
185.0,77.5
187.5,78.75
190.0,80.0
192.5,81.25
193.75,82.5
195.0,83.75
196.25,85.0
197.5,86.25
198.75,87.5
200.0,88.75
201.25,90.0
202.5,91.25
203.75,92.5
205.0,93.75
206.25,95.0
207.5,96.25
208.75,97.5
210,100
