X,Y
130.0,20.0
131.25,22.5
132.5,25.0
132.5,26.25
132.5,27.5
132.5,28.75
132.5,30.0
132.5,31.25
132.5,32.5
132.5,33.75
132.5,35.0
132.5,36.25
132.5,37.5
132.5,38.75
132.5,40.0
132.5,41.25
132.5,42.5
132.5,43.75
132.5,45.0
132.5,46.25
132.5,47.5
132.5,48.75
132.5,50.0
132.5,51.25
132.5,52.5
132.5,53.75
132.5,55.0
132.5,56.25
132.5,57.5
132.5,58.75
132.5,60.0
132.5,61.25
132.5,62.5
132.5,63.75
132.5,65.0
132.5,66.25
132.5,67.5
132.5,68.75
132.5,70.0
132.5,71.25
131.25,73.75
131.25,75.0
131.25,76.25
131.25,77.5
131.25,78.75
131.25,80.0
131.25,81.25
130.0,83.75
128.75,86.25
127.5,88.75
127.5,90.0
127.5,91.25
127.5,92.5
127.5,93.75
127.5,95.0
127.5,96.25
128.75,98.75
130.0,101.25
130.0,102.5
130.0,103.75
130.0,105.0
130.0,106.25
130.0,107.5
130.0,108.75
130.0,110.0
130.0,111.25
130.0,112.5
130.0,113.75
130.0,115.0
130.0,116.25
130.0,117.5
130.0,118.75
130.0,120.0
130.0,121.25
130.0,122.5
130.0,123.75
130.0,125.0
130.0,126.25
130.0,127.5
130.0,128.75
130.0,130.0
130.0,131.25
130.0,132.5
130.0,133.75
130.0,135.0
130.0,136.25
130.0,137.5
130.0,138.75
130.0,140.0
130.0,141.25
130.0,142.5
130.0,143.75
130.0,145.0
130.0,146.25
130.0,147.5
130.0,148.75
130.0,150.0
130.0,151.25
130.0,152.5
130.0,153.75
130.0,155.0
130.0,156.25
130.0,157.5
130.0,158.75
130.0,160.0
130.0,161.25
130.0,162.5
130.0,163.75
130.0,165.0
130.0,166.25
130.0,167.5
130.0,168.75
130.0,170.0
130.0,171.25
130.0,172.5
130.0,173.75
130.0,175.0
130.0,176.25
130.0,177.5
130.0,178.75
130,180
