X,Y
50.0,180.0
52.5,181.25
55.0,182.5
57.5,183.75
60.0,185.0
62.5,186.25
65.0,187.5
67.5,188.75
70.0,190.0
71.25,190.0
72.5,190.0
73.75,190.0
75.0,190.0
76.25,190.0
77.5,190.0
80.0,191.25
82.5,192.5
83.75,192.5
86.25,193.75
88.75,195.0
91.25,196.25
93.75,197.5
96.25,198.75
98.75,200.0
100.0,200.0
102.5,201.25
105.0,202.5
106.25,202.5
107.5,202.5
110.0,203.75
112.5,205.0
115.0,206.25
117.5,207.5
118.75,207.5
120.0,207.5
121.25,207.5
122.5,207.5
125.0,208.75
127.5,210.0
128.75,210.0
130.0,210.0
132.5,211.25
133.75,211.25
135.0,211.25
136.25,211.25
137.5,211.25
138.75,211.25
140.0,211.25
141.25,211.25
142.5,211.25
143.75,211.25
145.0,211.25
146.25,211.25
147.5,211.25
148.75,211.25
150.0,211.25
151.25,211.25
152.5,211.25
153.75,211.25
155.0,211.25
156.25,211.25
157.5,211.25
158.75,211.25
160.0,211.25
161.25,211.25
162.5,211.25
163.75,211.25
165.0,211.25
166.25,211.25
167.5,211.25
168.75,211.25
170.0,211.25
171.25,211.25
172.5,211.25
173.75,211.25
175.0,211.25
176.25,211.25
178.75,210.0
180.0,210.0
181.25,210.0
183.75,208.75
186.25,207.5
188.75,206.25
191.25,205.0
193.75,203.75
195.0,203.75
196.25,203.75
197.5,203.75
200.0,202.5
202.5,201.25
205.0,200.0
207.5,198.75
210.0,197.5
212.5,196.25
215.0,195.0
217.5,193.75
218.75,192.5
221.25,191.25
222.5,190.0
225.0,188.75
226.25,186.25
227.5,183.75
228.75,181.25
230,180
